"","LocationID","avg_tip","num_trips","Borough","Zone"
"54","192",0.229550408509618,42,"Queens","Queensboro Hill"
"55","31",0.229077100359306,12,"Bronx","Bronx Park"
"56","207",0.227670091505325,38,"Queens","Saint Michaels Cemetery/Woodside"
"57","195",0.224718576505531,423,"Brooklyn","Red Hook"
"58","165",0.224363710511266,53,"Brooklyn","Midwood"
"59","22",0.223934598702392,38,"Brooklyn","Bensonhurst West"
"60","53",0.223827463894729,19,"Queens","College Point"
"61","59",0.223636363636364,1,"Bronx","Crotona Park"
"62","227",0.223588693345571,39,"Brooklyn","Sunset Park East"
"63","126",0.223580038561407,16,"Bronx","Hunts Point"
"64","257",0.223089716298671,212,"Brooklyn","Windsor Terrace"
"65","123",0.222927912605118,28,"Brooklyn","Homecrest"
"66","28",0.222642654559521,307,"Queens","Briarwood/Jamaica Hills"
"67","96",0.222316271001578,6,"Queens","Forest Park/Highland Park"
"68","216",0.220658027937805,427,"Queens","South Ozone Park"
"69","184",0.219512667814798,6,"Bronx","Pelham Bay Park"
"70","93",0.219413841929542,815,"Queens","Flushing Meadows-Corona Park"
"71","147",0.218456835185523,18,"Bronx","Longwood"
"72","18",0.218045177042128,22,"Bronx","Bedford Park"
"73","119",0.217597787070669,73,"Bronx","Highbridge"
"74","251",0.217241379310345,1,"Staten Island","Westerleigh"
"75","115",0.216578512235431,141,"Staten Island","Grymes Hill/Clifton"
"76","219",0.216065399728113,286,"Queens","Springfield Gardens South"
"77","130",0.216044186351905,523,"Queens","Jamaica"
"78","157",0.215599280738764,184,"Queens","Maspeth"
"79","69",0.215576029910773,119,"Bronx","East Concourse/Concourse Village"
"80","40",0.215102280336488,3537,"Brooklyn","Carroll Gardens"
"81","10",0.214635544390003,1071,"Queens","Baisley Park"
"82","2",0.213632677254253,4,"Queens","Jamaica Bay"
"83","120",0.213624585828893,21,"Manhattan","Highbridge Park"
"84","136",0.213303474746562,24,"Bronx","Kingsbridge Heights"
"85","70",0.21176393780238,853,"Queens","East Elmhurst"
"86","228",0.211519032490336,538,"Brooklyn","Sunset Park West"
"87","1",0.211367551913981,352,"EWR","Newark Airport"
"88","149",0.211277869534886,10,"Brooklyn","Madison"
"89","223",0.211205651978405,3014,"Queens","Steinway"
"90","56",0.210909840265077,167,"Queens","Corona"
"91","139",0.210739657029921,6,"Queens","Laurelton"
"92","145",0.210612712215654,5869,"Queens","Long Island City/Hunters Point"
"93","254",0.2102055663911,18,"Bronx","Williamsbridge/Olinville"
"94","12",0.20996900212745,2555,"Manhattan","Battery Park"
"95","198",0.209659759707946,188,"Queens","Ridgewood"
"96","80",0.209470436264921,4547,"Brooklyn","East Williamsburg"
"97","77",0.209280144958138,53,"Brooklyn","East New York/Pennsylvania Avenue"
"98","138",0.209227986918412,177262,"Queens","LaGuardia Airport"
"99","185",0.20914903913832,18,"Bronx","Pelham Parkway"
"100","221",0.208499266630563,91,"Staten Island","Stapleton"
"101","134",0.208253355812214,202,"Queens","Kew Gardens"
"102","196",0.20789643799993,292,"Queens","Rego Park"
"103","106",0.207838857064243,1088,"Brooklyn","Gowanus"
"104","13",0.207678432778273,70182,"Manhattan","Battery Park City"
"105","173",0.207627437753263,72,"Queens","North Corona"
"106","14",0.206789867092093,159,"Brooklyn","Bay Ridge"
"107","215",0.206734955303811,411,"Queens","South Jamaica"
"108","162",0.206586309588615,224543,"Manhattan","Midtown East"
"109","113",0.206564622969713,107513,"Manhattan","Greenwich Village North"
"110","105",0.206343440554927,13,"Manhattan","Governor's Island/Ellis Island/Liberty Island"
"111","205",0.205985679759074,12,"Queens","Saint Albans"
"112","181",0.205645665459288,7225,"Brooklyn","Park Slope"
"113","52",0.205207962709607,3692,"Brooklyn","Cobble Hill"
"114","129",0.205188673252747,1703,"Queens","Jackson Heights"
"115","170",0.204998273994604,225818,"Manhattan","Murray Hill"
"116","186",0.204963505007665,213759,"Manhattan","Penn Station/Madison Sq West"
"117","92",0.204957314115663,150,"Queens","Flushing"
"118","25",0.204578481927141,5988,"Brooklyn","Boerum Hill"
"119","156",0.204444444444444,1,"Staten Island","Mariners Harbor"
"120","261",0.204425624533398,33769,"Manhattan","World Trade Center"
"121","249",0.204359962753402,145591,"Manhattan","West Village"
"122","159",0.2043336788609,95,"Bronx","Melrose South"
"123","217",0.204145632427013,386,"Brooklyn","South Williamsburg"
"124","122",0.204050862115125,8,"Queens","Hollis"
"125","189",0.203900092152309,1842,"Brooklyn","Prospect Heights"
"126","154",0.203825414134312,10,"Brooklyn","Marine Park/Floyd Bennett Field"
"127","88",0.203671216539297,27417,"Manhattan","Financial District South"
"128","20",0.203671057316646,25,"Bronx","Belmont"
"129","233",0.203204216156085,89363,"Manhattan","UN/Turtle Bay South"
"130","161",0.203112866206518,230968,"Manhattan","Midtown Center"
"131","37",0.203093216161041,2309,"Brooklyn","Bushwick South"
"132","125",0.202948964531451,40100,"Manhattan","Hudson Sq"
"133","34",0.202590420522316,220,"Brooklyn","Brooklyn Navy Yard"
"134","234",0.202565742651468,231888,"Manhattan","Union Sq"
"135","112",0.202523033927767,3709,"Brooklyn","Greenpoint"
"136","144",0.202486601155305,76284,"Manhattan","Little Italy/NoLiTa"
"137","231",0.20230341956938,124466,"Manhattan","TriBeCa/Civic Center"
"138","114",0.202255032114768,92992,"Manhattan","Greenwich Village South"
"139","62",0.202176983407928,221,"Brooklyn","Crown Heights South"
"140","49",0.202101508857944,2214,"Brooklyn","Clinton Hill"
"141","236",0.202059035508641,169358,"Manhattan","Upper East Side North"
"142","190",0.201964385302587,320,"Brooklyn","Prospect Park"
"143","246",0.201955690371427,103302,"Manhattan","West Chelsea/Hudson Yards"
"144","54",0.201557656486799,367,"Brooklyn","Columbia Street"
"145","33",0.201263292426566,6548,"Brooklyn","Brooklyn Heights"
"146","229",0.201154851964627,116191,"Manhattan","Sutton Place/Turtle Bay North"
"147","262",0.200893295435665,70007,"Manhattan","Yorkville East"
"148","137",0.200655078279798,81509,"Manhattan","Kips Bay"
"149","24",0.200637018217963,14116,"Manhattan","Bloomingdale"
"150","260",0.200578862663495,1893,"Queens","Woodside"
"151","87",0.200502762919782,58554,"Manhattan","Financial District North"
"152","44",0.200214515552378,1,"Staten Island","Charleston/Tottenville"
"153","230",0.200005325470701,171017,"Manhattan","Times Sq/Theatre District"
"154","36",0.199943746363467,1334,"Brooklyn","Bushwick North"
"155","72",0.199536078280425,78,"Brooklyn","East Flatbush/Remsen Village"
"156","164",0.199498284963737,159722,"Manhattan","Midtown South"
"157","100",0.199496611026034,115242,"Manhattan","Garment District"
"158","241",0.199441834308398,25,"Bronx","Van Cortlandt Village"
"159","163",0.19943591940895,152459,"Manhattan","Midtown North"
"160","243",0.199276205590011,1002,"Manhattan","Washington Heights North"
"161","239",0.198965994137649,134925,"Manhattan","Upper West Side South"
"162","107",0.198959874883079,165682,"Manhattan","Gramercy"
"163","79",0.198873145797428,208833,"Manhattan","East Village"
"164","224",0.198371247749254,21842,"Manhattan","Stuy Town/Peter Cooper Village"
"165","82",0.198161095580947,779,"Queens","Elmhurst"
"166","142",0.198123463468737,149964,"Manhattan","Lincoln Square East"
"167","94",0.198020985483062,9,"Bronx","Fordham South"
"168","168",0.197960221753904,574,"Bronx","Mott Haven/Port Morris"
"169","158",0.197953071380368,91744,"Manhattan","Meatpacking/West Village West"
"170","43",0.1978368080176,64148,"Manhattan","Central Park"
"171","32",0.197804542124542,5,"Bronx","Bronxdale"
"172","240",0.197785907318802,6,"Bronx","Van Cortlandt Park"
"173","48",0.197684215225093,180209,"Manhattan","Clinton East"
"174","68",0.197543137133924,157946,"Manhattan","East Chelsea"
"175","166",0.197378631258238,22777,"Manhattan","Morningside Heights"
"176","255",0.197326538263332,10303,"Brooklyn","Williamsburg (North Side)"
"177","179",0.197027329773993,2761,"Queens","Old Astoria"
"178","90",0.196829735776591,132010,"Manhattan","Flatiron"
"179","247",0.196794820785157,676,"Bronx","West Concourse"
"180","211",0.196687895829642,57011,"Manhattan","SoHo"
"181","97",0.196325854209982,4867,"Brooklyn","Fort Greene"
"182","7",0.196314866166139,7277,"Queens","Astoria"
"183","78",0.196274712352159,22,"Bronx","East Tremont"
"184","209",0.196255601578313,11809,"Manhattan","Seaport"
"185","127",0.19625179238529,475,"Manhattan","Inwood"
"186","177",0.195571380527551,113,"Brooklyn","Ocean Hill"
"187","74",0.195546725891211,11014,"Manhattan","East Harlem North"
"188","167",0.19544599339542,39,"Bronx","Morrisania/Melrose"
"189","151",0.195235400358993,44838,"Manhattan","Manhattan Valley"
"190","61",0.195137186707016,1362,"Brooklyn","Crown Heights North"
"191","183",0.195127441244621,3,"Bronx","Pelham Bay"
"192","95",0.195110190283945,704,"Queens","Forest Hills"
"193","237",0.195081600983685,193035,"Manhattan","Upper East Side South"
"194","4",0.194548475015538,17352,"Manhattan","Alphabet City"
"195","259",0.194537954173505,11,"Bronx","Woodlawn/Wakefield"
"196","263",0.194490367896731,104307,"Manhattan","Yorkville West"
"197","213",0.194295427249124,21,"Bronx","Soundview/Castle Hill"
"198","141",0.19411308791696,136120,"Manhattan","Lenox Hill West"
"199","140",0.193941629610697,104327,"Manhattan","Lenox Hill East"
"200","212",0.193835902262665,24,"Bronx","Soundview/Bruckner"
"201","89",0.193730854261856,743,"Brooklyn","Flatbush/Ditmas Park"
"202","242",0.193643837770411,16,"Bronx","Van Nest/Morris Park"
"203","45",0.193517976070553,12146,"Manhattan","Chinatown"
"204","220",0.193466165614355,53,"Bronx","Spuyten Duyvil/Kingsbridge"
"205","133",0.193345659866191,398,"Brooklyn","Kensington"
"206","85",0.193260400823563,118,"Brooklyn","Erasmus"
"207","17",0.19309202577507,1519,"Brooklyn","Bedford"
"208","225",0.192974654993352,659,"Brooklyn","Stuyvesant Heights"
"209","188",0.192939919034587,566,"Brooklyn","Prospect-Lefferts Gardens"
"210","66",0.192916198967329,2573,"Brooklyn","DUMBO/Vinegar Hill"
"211","256",0.191768555328706,8281,"Brooklyn","Williamsburg (South Side)"
"212","226",0.191356317463793,7681,"Queens","Sunnyside"
"213","50",0.191336091175205,58793,"Manhattan","Clinton West"
"214","132",0.191184904732619,130994,"Queens","JFK Airport"
"215","238",0.19104333771578,94667,"Manhattan","Upper West Side North"
"216","200",0.190996315894021,33,"Bronx","Riverdale/North Riverdale/Fieldston"
"217","148",0.190728136757256,105306,"Manhattan","Lower East Side"
"218","116",0.190644145372157,5079,"Manhattan","Hamilton Heights"
"219","232",0.19017134469327,11257,"Manhattan","Two Bridges/Seward Park"
"220","204",0.190110450297366,2,"Staten Island","Rossville/Woodrow"
"221","42",0.189942027894736,5097,"Manhattan","Central Harlem North"
"222","65",0.189351143152392,8567,"Brooklyn","Downtown Brooklyn/MetroTech"
"223","153",0.189275007971771,30,"Manhattan","Marble Hill"
"224","83",0.188947620333737,439,"Queens","Elmhurst/Maspeth"
"225","146",0.188898719849116,4844,"Queens","Long Island City/Queens Plaza"
"226","143",0.188751430334169,61122,"Manhattan","Lincoln Square West"
"227","176",0.188679245283019,1,"Staten Island","Oakwood"
"228","108",0.187889435485123,12,"Brooklyn","Gravesend"
"229","244",0.18701166522901,4320,"Manhattan","Washington Heights South"
"230","55",0.186218088548276,44,"Brooklyn","Coney Island"
"231","218",0.186106360504209,20,"Queens","Springfield Gardens North"
"232","41",0.185531269650341,13853,"Manhattan","Central Harlem"
"233","182",0.185204871647251,26,"Bronx","Parkchester"
"234","75",0.184862703601634,27460,"Manhattan","East Harlem South"
"235","91",0.18472243792725,94,"Brooklyn","Flatlands"
"236","76",0.183989266414213,114,"Brooklyn","East New York"
"237","193",0.183570259436706,1220,"Queens","Queensbridge/Ravenswood"
"238","3",0.183024468246182,8,"Bronx","Allerton/Pelham Gardens"
"239","71",0.181522608471331,73,"Brooklyn","East Flatbush/Farragut"
"240","152",0.180701030650245,4444,"Manhattan","Manhattanville"
"241","202",0.178552000373683,312,"Manhattan","Roosevelt Island"
"242","35",0.177500389405335,90,"Brooklyn","Brownsville"
"243","118",0.176434288905436,3,"Staten Island","Heartland Village/Todt Hill"
"244","128",0.175903553428975,29,"Manhattan","Inwood Hill Park"
"245","178",0.173564520420864,35,"Brooklyn","Ocean Parkway South"
"246","81",0.170211428571429,5,"Bronx","Eastchester"
"247","86",0.1639968674703,5,"Queens","Far Rockaway"
"248","5",0.160565189466924,1,"Staten Island","Arden Heights"
"249","235",0.159995519496829,24,"Bronx","University Heights/Morris Heights"
"250","191",0.156432798784823,24,"Queens","Queens Village"
"251","208",0.154296727659281,20,"Bronx","Schuylerville/Edgewater Park"
"252","73",0.153475274725275,5,"Queens","East Flushing"
"253","38",0.140544471288409,17,"Queens","Cambria Heights"
"254","187",0.118063754427391,1,"Staten Island","Port Richmond"
"255","214",0.114942528735632,1,"Staten Island","South Beach/Dongan Hills"
"256","27",0.111111111111111,1,"Queens","Breezy Point/Fort Tilden/Riis Beach"
"257","201",0.0719004524886878,2,"Queens","Rockaway Park"
